filename,title
baseballfield_452.tif,There is a baseball field beside the green amusement park around the red track.
baseballfield_452.tif,A green baseball field adjacent to the playground and Red Square.
baseballfield_452.tif,There is a long path in the field next to the red playground
baseballfield_452.tif,The green playground around the red runway is a baseball field.
baseballfield_452.tif,The green baseball field is adjacent to the playground and the red playground.
baseballfield_453.tif,Next to a green baseball field are two white houses
baseballfield_453.tif,"There are two white houses next to the baseball field, which is located in the middle of the green lawn."
baseballfield_453.tif,The baseball field is located in the middle of the green lawn with two white houses beside it.
baseballfield_453.tif,The baseball field is located in the middle of a green lawn with two white houses beside it.
baseballfield_453.tif,"There are two white houses next to the baseball field, which is in the middle of the green lawn."
baseballfield_454.tif,Two baseball fields of different sizes are next to the red stadium.
baseballfield_454.tif,Two baseball fields of different sizes are next to the red playground.
baseballfield_454.tif,Two white houses stand next to the big baseball stadium
baseballfield_454.tif,"Two baseball fields and a side-by-side field, a road through the field."
baseballfield_454.tif,"The two baseball fields are side by side with the football field, and the path passes through the football field."
baseballfield_455.tif,The baseball field and the gray bare soil are close to each other.
baseballfield_455.tif,"A baseball field is alongside a gray, bare piece of land."
baseballfield_455.tif,There is a road next to a green baseball field
baseballfield_455.tif,A path separates the baseball field from the White House.
baseballfield_455.tif,A path separating the baseball field from the White House.
baseballfield_456.tif,White octagonal buildings are side by side with two baseball fields of different colors.
baseballfield_456.tif,Next to a white octagonal building is a parking lot full of cars .
baseballfield_456.tif,White buildings and tennis courts are beside the gray road.
baseballfield_456.tif,A white octagonal building is next to two baseball fields of different colors.
baseballfield_456.tif,White buildings and grey roadside tennis courts.
baseballfield_457.tif,On one side of the intersection are white buildings on the other two gray roads.
baseballfield_457.tif,An intersection was crossed by a gray highway
baseballfield_457.tif,"Two parallel roads pass through a gray road, which diverges at the intersection."
baseballfield_457.tif,Two parallel roads pass through the gray road that diverges at the intersection.
baseballfield_457.tif,"On one side of an intersection is a white building, on the other two gray streets"
baseballfield_458.tif,The road at an intersection was lined with trees and empty .
baseballfield_458.tif,On both sides of the intersection are empty parking lots and baseball fields.
baseballfield_458.tif,On both sides of the intersection are empty parking lots and two tennis courts.
baseballfield_458.tif,There is an empty parking lot and two tennis courts on both sides of the intersection.
baseballfield_458.tif,There is an empty parking lot and baseball field on both sides of the intersection.
boat_459.tif,On one side of a deep black river is a blue factory .
boat_459.tif,"Blue boats, white boats and green boats are moored by the black river."
boat_459.tif,There were many cars parked on the bank of the river where the three boats were moored.
boat_459.tif,Many cars were parked on the bank of the river where three boats were moored.
boat_459.tif,"Blue boats, white boats and green boats are anchored on one side of the black river respectively."
boat_460.tif,There are two boats moored by the river and a turquoise building on the bank.
boat_460.tif,There are two ships and a loading area on the bank of the river.
boat_460.tif,A lot of goods are parked beside the turquoise building
boat_460.tif,The two boats were moored on the bank of the river. There was a turquoise building on the bank.
